Operators;Runoders;Part;Cutoff_MHz;risetime_ps
NMUT;22,0;5;351,82;994,8269001193793
NMUT;23,0;9;408,84000000000003;856,0806183348009
NMUT;24,0;6;369,14;948,1497534810642
NMUT;25,0;10;393,65999999999997;889,0921099425901
NMUT;26,0;8;408,12;857,5909046358914
NMUT;29,0;7;365,78000000000003;956,8593143419541
NMUT;51,0;8;457,48;765,0607676838331
NMUT;52,0;10;413,28000000000003;846,8834688346883
NMUT;55,0;5;379,71999999999997;921,7318023807017
NMUT;56,0;7;351,86;994,7138066276359
NMUT;57,0;9;413,48;846,4738318661119
NMUT;58,0;6;365,26;958,2215408202377
NMUT;81,0;8;433,58000000000004;807,2328059412333
NMUT;83,0;10;412,03999999999996;849,4320939714592
NMUT;84,0;7;391,26;894,545826304759
NMUT;85,0;6;397,34;880,8577037298032
NMUT;89,0;9;457,18;765,5627980226607
NMUT;90,0;5;401,2;872,382851445663
SSID;1,0;7;380,65999999999997;919,4556822361163
SSID;3,0;5;359,6;973,3036707452725
SSID;4,0;6;352,54;992,7951438134679
SSID;7,0;9;411,48;850,5881209293283
SSID;8,0;10;393,26;889,99644001424
SSID;9,0;8;410,78000000000003;852,0375870295535
SSID;31,0;6;371,08000000000004;943,1928425137436
SSID;33,0;5;375,14;932,9850189262676
SSID;34,0;7;358,98;974,98467881219
SSID;37,0;10;377,0;928,3819628647215
SSID;38,0;9;404,4;865,4797230464886
SSID;39,0;8;385,2;908,618899273105
SSID;61,0;8;442,88;790,2817919075145
SSID;62,0;7;356,64;981,3817855540601
SSID;63,0;5;359,58000000000004;973,3578063296067
SSID;64,0;10;417,46000000000004;838,403679394433
SSID;65,0;9;424,38;824,7325510155993
SSID;69,0;6;357,82;978,1454362528646
