Operators;Runoders;Part;Mess;Cutoff_MHz
NMUT;22,0;5;001;369,5
NMUT;22,0;5;002;350,1
NMUT;22,0;5;003;344,7
NMUT;22,0;5;004;347,3
NMUT;22,0;5;005;347,5
NMUT;23,0;9;001;414,3
NMUT;23,0;9;002;408,1
NMUT;23,0;9;003;408,5
NMUT;23,0;9;004;407,5
NMUT;23,0;9;005;405,8
NMUT;24,0;6;001;403,2
NMUT;24,0;6;002;358,3
NMUT;24,0;6;003;363,6
NMUT;24,0;6;004;361,4
NMUT;24,0;6;005;359,2
NMUT;25,0;10;001;391,9
NMUT;25,0;10;002;391,7
NMUT;25,0;10;003;395,0
NMUT;25,0;10;004;391,9
NMUT;25,0;10;005;397,8
NMUT;26,0;8;001;436,3
NMUT;26,0;8;002;398,9
NMUT;26,0;8;003;402,0
NMUT;26,0;8;004;401,6
NMUT;26,0;8;005;401,8
NMUT;29,0;7;001;369,6
NMUT;29,0;7;002;365,0
NMUT;29,0;7;003;365,9
NMUT;29,0;7;004;365,7
NMUT;29,0;7;005;362,7
NMUT;51,0;8;001;452,3
NMUT;51,0;8;002;460,3
NMUT;51,0;8;003;462,9
NMUT;51,0;8;004;464,0
NMUT;51,0;8;005;447,9
NMUT;52,0;10;001;429,2
NMUT;52,0;10;002;413,4
NMUT;52,0;10;003;409,0
NMUT;52,0;10;004;407,7
NMUT;52,0;10;005;407,1
NMUT;55,0;5;001;393,8
NMUT;55,0;5;002;376,4
NMUT;55,0;5;003;374,0
NMUT;55,0;5;004;379,5
NMUT;55,0;5;005;374,9
NMUT;56,0;7;001;343,8
NMUT;56,0;7;002;349,5
NMUT;56,0;7;003;356,7
NMUT;56,0;7;004;353,5
NMUT;56,0;7;005;355,8
NMUT;57,0;9;001;428,1
NMUT;57,0;9;002;408,9
NMUT;57,0;9;003;411,8
NMUT;57,0;9;004;404,7
NMUT;57,0;9;005;413,9
NMUT;58,0;6;001;371,4
NMUT;58,0;6;002;359,8
NMUT;58,0;6;003;367,6
NMUT;58,0;6;004;362,9
NMUT;58,0;6;005;364,6
NMUT;81,0;8;001;402,3
NMUT;81,0;8;002;439,1
NMUT;81,0;8;003;446,3
NMUT;81,0;8;004;438,3
NMUT;81,0;8;005;441,9
NMUT;83,0;10;001;391,4
NMUT;83,0;10;002;411,9
NMUT;83,0;10;003;416,8
NMUT;83,0;10;004;422,0
NMUT;83,0;10;005;418,1
NMUT;84,0;7;001;421,8
NMUT;84,0;7;002;379,2
NMUT;84,0;7;003;386,0
NMUT;84,0;7;004;381,9
NMUT;84,0;7;005;387,4
NMUT;85,0;6;001;378,2
NMUT;85,0;6;002;405,9
NMUT;85,0;6;003;400,9
NMUT;85,0;6;004;403,3
NMUT;85,0;6;005;398,4
NMUT;89,0;9;001;439,9
NMUT;89,0;9;002;459,1
NMUT;89,0;9;003;461,1
NMUT;89,0;9;004;460,7
NMUT;89,0;9;005;465,1
NMUT;90,0;5;001;384,8
NMUT;90,0;5;002;408,3
NMUT;90,0;5;003;405,6
NMUT;90,0;5;004;404,2
NMUT;90,0;5;005;403,1
SSID;1,0;7;001;380,5
SSID;1,0;7;002;381,8
SSID;1,0;7;003;380,3
SSID;1,0;7;004;381,8
SSID;1,0;7;005;378,9
SSID;31,0;6;001;371,7
SSID;31,0;6;002;373,4
SSID;31,0;6;003;372,3
SSID;31,0;6;004;368,9
SSID;31,0;6;005;369,1
SSID;33,0;5;001;371,8
SSID;33,0;5;002;374,2
SSID;33,0;5;003;376,2
SSID;33,0;5;004;375,8
SSID;33,0;5;005;377,7
SSID;34,0;7;001;349,8
SSID;34,0;7;002;360,7
SSID;34,0;7;003;359,6
SSID;34,0;7;004;361,7
SSID;34,0;7;005;363,1
SSID;37,0;10;001;368,0
SSID;37,0;10;002;377,3
SSID;37,0;10;003;378,1
SSID;37,0;10;004;380,3
SSID;37,0;10;005;381,3
SSID;38,0;9;001;398,3
SSID;38,0;9;002;407,3
SSID;38,0;9;003;405,4
SSID;38,0;9;004;405,0
SSID;38,0;9;005;406,0
SSID;39,0;8;001;378,0
SSID;39,0;8;002;386,1
SSID;39,0;8;003;384,5
SSID;39,0;8;004;388,6
SSID;39,0;8;005;388,8
SSID;3,0;5;001;360,5
SSID;3,0;5;002;358,9
SSID;3,0;5;003;359,4
SSID;3,0;5;004;362,9
SSID;3,0;5;005;356,3
SSID;4,0;6;001;345,6
SSID;4,0;6;002;354,9
SSID;4,0;6;003;356,7
SSID;4,0;6;004;351,9
SSID;4,0;6;005;353,6
SSID;61,0;8;001;425,1
SSID;61,0;8;002;447,7
SSID;61,0;8;003;444,5
SSID;61,0;8;004;450,3
SSID;61,0;8;005;446,8
SSID;62,0;7;001;351,7
SSID;62,0;7;002;353,7
SSID;62,0;7;003;360,7
SSID;62,0;7;004;358,1
SSID;62,0;7;005;359,0
SSID;63,0;5;001;356,3
SSID;63,0;5;002;360,2
SSID;63,0;5;003;360,6
SSID;63,0;5;004;360,2
SSID;63,0;5;005;360,6
SSID;64,0;10;001;419,7
SSID;64,0;10;002;422,3
SSID;64,0;10;003;418,6
SSID;64,0;10;004;414,1
SSID;64,0;10;005;412,6
SSID;65,0;9;001;413,8
SSID;65,0;9;002;424,5
SSID;65,0;9;003;423,9
SSID;65,0;9;004;424,7
SSID;65,0;9;005;435,0
SSID;69,0;6;001;354,5
SSID;69,0;6;002;357,6
SSID;69,0;6;003;360,1
SSID;69,0;6;004;359,9
SSID;69,0;6;005;357,0
SSID;7,0;9;001;402,9
SSID;7,0;9;002;412,8
SSID;7,0;9;003;411,7
SSID;7,0;9;004;411,3
SSID;7,0;9;005;418,7
SSID;8,0;10;001;383,1
SSID;8,0;10;002;395,7
SSID;8,0;10;003;395,5
SSID;8,0;10;004;397,0
SSID;8,0;10;005;395,0
SSID;9,0;8;001;411,6
SSID;9,0;8;002;407,4
SSID;9,0;8;003;409,8
SSID;9,0;8;004;412,3
SSID;9,0;8;005;412,8
