"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
191.890457,2.655778,191.890457,0.364613,238774.88023353557," K.R. McIntosh,  T.C. Kho,  K.C. Fong,  S.C. Baker-Finch,  Y. Wan,  N. Zin,  E.T. Franklin,  D. Wang,  M.D. Abbott,  N.E. Grant,  E. Wang,  M. Stocks and  A.W. Blakers, 'Quantifying the optical losses in back-contact solar cells', <i>IEEE</i>, pp.0115-0123, (2014)",-
193.474548,2.643667,193.474548,0.344238,223586.1167405737,,
195.058731,2.631536,195.058731,0.325022,209390.6224490021,,
196.642975,2.619427,196.642975,0.306896,196120.34836557842,,
198.22731,2.607377,198.22731,0.28979,183708.72007167654,,
199.8117,2.595415,199.8117,0.273643,172096.99702395243,,
201.3962,2.583566,201.3962,0.258396,161229.45225719022,,
202.980759,2.57185,202.980759,0.243992,151053.425656898,,
204.5654,2.560284,204.5654,0.23038,141521.51156236912,,
206.1501,2.54888,206.1501,0.217512,132589.62304992782,,
207.7349,2.53765,207.7349,0.205341,124215.57996865845,,
209.319748,2.526601,209.319748,0.193827,116362.73884055103,,
210.9047,2.51574,210.9047,0.182928,108994.30139506113,,
212.489716,2.50507,212.489716,0.172609,102078.75967860594,,
214.0748,2.494595,214.0748,0.162835,95585.51305380996,,
215.659958,2.484317,215.659958,0.153575,89487.19015795273,,
217.2452,2.474237,217.2452,0.144798,83757.21683231572,,
218.830475,2.464353,218.830475,0.136477,78372.10801356149,,
220.415848,2.454666,220.415848,0.128587,73310.15046561457,,
222.0013,2.445174,222.0013,0.121102,68549.71633680184,,
223.586792,2.435875,223.586792,0.114001,64072.60480787077,,
225.1724,2.426767,225.1724,0.107262,59860.535520223326,,
226.758026,2.417847,226.758026,0.100867,55898.00401413649,,
228.34375,2.409113,228.34375,0.094796,52168.78801188087,,
229.92952,2.400561,229.92952,0.089033,48659.33155987279,,
231.515381,2.392188,231.515381,0.083562,45356.42758340454,,
233.101288,2.38399,233.101288,0.078368,42247.785962731345,,
234.687286,2.375966,234.687286,0.073436,39321.43100568645,,
236.273315,2.36811,236.273315,0.068754,36567.32226487999,,
237.859421,2.36042,237.859421,0.06431,33975.66893974061,,
239.4456,2.352891,239.4456,0.060091,31536.42316198155,,
241.03183,2.345522,241.03183,0.056088,29241.888717277598,,
242.618134,2.338308,242.618134,0.05229,27083.5286955443,,
244.204514,2.331246,244.204514,0.048687,25053.545328867473,,
245.790939,2.324333,245.790939,0.045271,23145.36762002663,,
247.377411,2.317566,247.377411,0.042033,21352.081174192543,,
248.963959,2.310941,248.963959,0.038965,19667.450379374197,,
250.550583,2.304455,250.550583,0.03606,18085.9018138382,,
252.137238,2.298105,252.137238,0.033311,16602.005116551583,,
253.723969,2.291889,253.723969,0.03071,15209.963926071572,,
255.310745,2.285804,255.310745,0.028253,13906.099759627812,,
256.897583,2.279847,256.897583,0.025932,12684.86526677684,,
258.4845,2.274015,258.4845,0.023743,11542.794151940632,,
260.071472,2.268306,260.071472,0.021679,10475.056970058311,,
261.658478,2.262717,261.658478,0.019737,9478.8618626608,,
263.245544,2.257247,263.245544,0.017911,8550.050293492799,,
264.832642,2.251892,264.832642,0.016197,7685.51426680913,,
266.41983,2.246651,266.41983,0.01459,6881.745524103831,,
268.00705,2.241522,268.00705,0.013086,6135.791049507994,,
269.59433,2.236502,269.59433,0.011683,5445.69716609241,,
271.1817,2.231591,271.1817,0.010375,4807.702552346874,,
272.769073,2.226785,272.769073,0.00916,4219.978224126971,,
274.3565,2.222084,274.3565,0.008034,3679.8188311835734,,
275.944,2.217486,275.944,0.006994,3185.037401676719,,
277.531555,2.21299,277.531555,0.006038,2733.950226650828,,
279.119141,2.208594,279.119141,0.005161,2323.5611326529447,,
280.7068,2.204297,280.7068,0.004363,1953.1794381343477,,
282.2945,2.200098,282.2945,0.003639,1619.9048392955947,,
283.882233,2.195996,283.882233,0.002988,1322.6722573971444,,
285.47,2.191991,285.47,0.002408,1060.0000153913506,,
287.057831,2.188081,287.057831,0.001895,829.5635841479842,,
288.645721,2.184268,288.645721,0.001448,630.395787145311,,
290.233643,2.180549,290.233643,0.001065,461.1176211674578,,
291.8216,2.176927,291.8216,0.000744,320.37997657072765,,
293.409637,2.173401,293.409637,0.000482,206.4346181008745,,
294.9977,2.169973,294.9977,0.000279,118.84897412441552,,
296.5858,2.166644,296.5858,0.000132,55.92853471391452,,
298.17395,2.16342,298.17395,0.00004,16.8577712631961,,
299.762146,2.160307,299.762146,0.000002,0.8384227816649786,,
301.350372,2.157326,301.350372,0,0,,
302.93866,2.154463,302.93866,0,0,,
304.526978,2.151697,304.526978,0,0,,
306.115326,2.149018,306.115326,0,0,,
307.7037,2.14642,307.7037,0,0,,
309.292175,2.143898,309.292175,0,0,,
310.880646,2.141445,310.880646,0,0,,
312.469147,2.13906,312.469147,0,0,,
314.057678,2.136738,314.057678,0,0,,
315.6463,2.134475,315.6463,0,0,,
317.234924,2.132271,317.234924,0,0,,
318.823547,2.130121,318.823547,0,0,,
320.412262,2.128023,320.412262,0,0,,
322.001,2.125976,322.001,0,0,,
323.589783,2.123976,323.589783,0,0,,
325.178558,2.122024,325.178558,0,0,,
326.7674,2.120116,326.7674,0,0,,
328.356262,2.11825,328.356262,0,0,,
329.94516,2.116427,329.94516,0,0,,
331.5341,2.114643,331.5341,0,0,,
333.123047,2.112898,333.123047,0,0,,
334.712036,2.11119,334.712036,0,0,,
336.301056,2.109518,336.301056,0,0,,
337.890076,2.107881,337.890076,0,0,,
339.4792,2.106277,339.4792,0,0,,
