[Allgemein]
Bauteil:;AD22-12 Ch-OR
Bauteil-Nr.:;0
Charge:;C0013
Wafer:;009
Datum:;04.08.22
Temperatur:; 24,2
Info:;

[Einstellungen Messung]
Messgerät:;2636A
Filter:;aus
Filter Counts:;10
Delay:;1000
NPLC:;10,000000

[Einstellungen Quelle]
Spannung:;10,000000
Kanal B:;aus

[Messwerte]
Id Kanal A:;7,446pA

Wellenlänge [nm];Messwerte [A];Empfindlichkeit [A/W];Kal.Diode [A];Kanal B [A]
400;776,128476E-12;154,591554E-3;1,003600E-9;NaN
410;1,281414E-9;171,493883E-3;1,562410E-9;NaN
420;1,931864E-9;188,148313E-3;2,224000E-9;NaN
430;2,708424E-9;205,056118E-3;2,959960E-9;NaN
440;3,364054E-9;222,189482E-3;3,497450E-9;NaN
450;4,198814E-9;239,441991E-3;4,164760E-9;NaN
460;5,581344E-9;255,890647E-3;5,317630E-9;NaN
470;7,384234E-9;272,649918E-3;6,773510E-9;NaN
480;9,297694E-9;289,456120E-3;8,235890E-9;NaN
490;11,304954E-9;306,872583E-3;9,696090E-9;NaN
500;13,378854E-9;324,351889E-3;11,145200E-9;NaN
510;15,448854E-9;338,942037E-3;12,534400E-9;NaN
520;17,461454E-9;355,194036E-3;13,828800E-9;NaN
530;19,366354E-9;370,763311E-3;15,017200E-9;NaN
540;21,214554E-9;384,509365E-3;16,132600E-9;NaN
550;22,968754E-9;398,554136E-3;17,173800E-9;NaN
560;24,463754E-9;411,294704E-3;18,022400E-9;NaN
570;25,623754E-9;423,655752E-3;18,652800E-9;NaN
580;26,491154E-9;435,653615E-3;19,081500E-9;NaN
590;26,982854E-9;446,317973E-3;19,279600E-9;NaN
600;27,345954E-9;457,053876E-3;19,427100E-9;NaN
610;27,443754E-9;465,349635E-3;19,414400E-9;NaN
620;27,235854E-9;473,216654E-3;19,246300E-9;NaN
630;26,836454E-9;480,025064E-3;18,985800E-9;NaN
640;26,241054E-9;485,747135E-3;18,621400E-9;NaN
650;26,613054E-9;489,060740E-3;19,002300E-9;NaN
660;25,766454E-9;492,066996E-3;18,557700E-9;NaN
670;25,043754E-9;493,885126E-3;18,229400E-9;NaN
680;24,150954E-9;494,389514E-3;17,820500E-9;NaN
690;22,975854E-9;489,857866E-3;17,232200E-9;NaN
700;21,627954E-9;486,700619E-3;16,530900E-9;NaN
710;21,389454E-9;482,401516E-3;16,702700E-9;NaN
720;20,477654E-9;476,300055E-3;16,389000E-9;NaN
730;19,108854E-9;468,297621E-3;15,709900E-9;NaN
740;17,570654E-9;459,575582E-3;14,891500E-9;NaN
750;15,960154E-9;448,561259E-3;13,986800E-9;NaN
760;14,375454E-9;437,411835E-3;13,053900E-9;NaN
770;12,940854E-9;423,568168E-3;12,220800E-9;NaN
780;11,581254E-9;409,612655E-3;11,405600E-9;NaN
790;10,391054E-9;394,626509E-3;10,703700E-9;NaN
800;9,014654E-9;378,383035E-3;9,746460E-9;NaN
810;8,130334E-9;360,933893E-3;9,253610E-9;NaN
820;7,368574E-9;343,015378E-3;8,856930E-9;NaN
830;6,725354E-9;325,509873E-3;8,557780E-9;NaN
840;6,142634E-9;305,594139E-3;8,303570E-9;NaN
850;5,635244E-9;286,047383E-3;8,126410E-9;NaN
860;5,200264E-9;267,328107E-3;8,018420E-9;NaN
870;4,786564E-9;248,565996E-3;7,914510E-9;NaN
880;4,393694E-9;229,580133E-3;7,810200E-9;NaN
890;4,025874E-9;210,503098E-3;7,730330E-9;NaN
900;3,673714E-9;192,812796E-3;7,628930E-9;NaN
910;3,318274E-9;174,310885E-3;7,483260E-9;NaN
920;2,980474E-9;157,210072E-3;7,308520E-9;NaN
930;2,643604E-9;140,152441E-3;7,079040E-9;NaN
940;2,322474E-9;124,247595E-3;6,805870E-9;NaN
950;2,019714E-9;109,162971E-3;6,479340E-9;NaN
960;1,745974E-9;95,154210E-3;6,135870E-9;NaN
970;1,497884E-9;82,285360E-3;5,766880E-9;NaN
980;1,270114E-9;70,271089E-3;5,364510E-9;NaN
990;1,060364E-9;59,234863E-3;4,910250E-9;NaN
1000;870,549476E-12;49,443406E-3;4,408790E-9;NaN
1010;702,281476E-12;40,501557E-3;3,891010E-9;NaN
1020;551,536476E-12;32,436044E-3;3,342950E-9;NaN
1030;421,560476E-12;25,426153E-3;2,790380E-9;NaN
1040;314,171476E-12;19,373213E-3;2,259000E-9;NaN
1050;229,188476E-12;14,406229E-3;1,770670E-9;NaN
1060;162,920476E-12;10,697590E-3;1,320410E-9;NaN
1070;120,149476E-12;7,980373E-3;1,031310E-9;NaN
1080;90,496576E-12;6,170823E-3;809,521000E-12;NaN
1090;67,960376E-12;4,761646E-3;627,988000E-12;NaN
1100;47,741476E-12;3,609102E-3;460,337000E-12;NaN
